origin,destination,mode,time_min,cost_idr_thousand
J1a,JCBD,car,105.4,176.135
J1a,JCBD,moto,82.3,21.95
J1a,JCBD,4wrh,112.4,155.15
J1a,JCBD,2wrh,87.3,88.8
J1a,JCBD,krl,75.0,10.28
J1b,JCBD,car,73.4,131.86
J1b,JCBD,moto,57.4,15.3
J1b,JCBD,4wrh,80.4,108.6
J1b,JCBD,2wrh,62.4,62.2
J2,JCBD,car,46.8,91.526
J2,JCBD,moto,36.6,9.75
J2,JCBD,4wrh,53.8,69.75
J2,JCBD,2wrh,41.6,40.0
J2,JCBD,krl,35.0,5.4
J2,JCBD,tj,65.0,3.5
J2,JCBD,royal,45.0,24.75
J2,JCBD,lrt,40.0,5.0
J3a,JCBD,car,56.4,105.493
J3a,JCBD,moto,44.1,11.75
J3a,JCBD,4wrh,63.4,83.75
J3a,JCBD,2wrh,49.1,48.0
J3a,JCBD,krl,40.0,6.2
J3a,JCBD,royal,80.0,35.75
J3b,JCBD,car,62.6,114.472
J3b,JCBD,moto,48.9,13.05
J3b,JCBD,4wrh,69.6,92.85
J3b,JCBD,2wrh,53.9,53.2
J3b,JCBD,tj,85.0,3.5
J3b,JCBD,royal,90.0,37.05
J4,JCBD,car,51.8,98.613
J4,JCBD,moto,40.5,10.8
J4,JCBD,4wrh,58.8,77.1
J4,JCBD,2wrh,45.5,44.2
J4,JCBD,krl,35.0,5.82
J4,JCBD,tj,70.0,3.5
J4,JCBD,royal,50.0,25.8
J5,JCBD,car,20.9,52.755
J5,JCBD,moto,16.3,4.35
J5,JCBD,4wrh,27.9,31.95
J5,JCBD,2wrh,21.3,18.4
J5,JCBD,krl,15.0,3.24
J5,JCBD,tj,30.0,3.5
J5,JCBD,mrt,15.0,5.61
